"","time","use..kW.","day","hour"
"508",2020-01-22 08:00:00,64.063516664,3,8
"509",2020-01-22 09:00:00,62.018316661,3,9
"510",2020-01-22 10:00:00,66.956700001,3,10
"511",2020-01-22 11:00:00,70.179900002,3,11
"512",2020-01-22 12:00:00,81.865866666,3,12
"513",2020-01-22 13:00:00,38.544816665,3,13
"514",2020-01-22 14:00:00,39.758616667,3,14
"515",2020-01-22 15:00:00,16.327766669,3,15
"516",2020-01-22 16:00:00,28.308833334,3,16
"517",2020-01-22 17:00:00,12.261150004,3,17
"518",2020-01-22 18:00:00,33.915433334,3,18
"519",2020-01-22 19:00:00,41.171583336,3,19
"520",2020-01-22 20:00:00,88.935316664,3,20
"521",2020-01-22 21:00:00,77.541633333,3,21
"522",2020-01-22 22:00:00,85.79595,3,22
"523",2020-01-22 23:00:00,85.965033334,3,23
"524",2020-01-23 00:00:00,54.782233334,4,0
"525",2020-01-23 01:00:00,63.047549999,4,1
"526",2020-01-23 02:00:00,49.394183332,4,2
"527",2020-01-23 03:00:00,56.436399999,4,3
"528",2020-01-23 04:00:00,49.168566666,4,4
"529",2020-01-23 05:00:00,58.895083339,4,5
"530",2020-01-23 06:00:00,46.115316667,4,6
"531",2020-01-23 07:00:00,45.890566662,4,7
"532",2020-01-23 08:00:00,53.751116664,4,8
"533",2020-01-23 09:00:00,57.665966668,4,9
"534",2020-01-23 10:00:00,43.795066666,4,10
"535",2020-01-23 11:00:00,58.391616667,4,11
"536",2020-01-23 12:00:00,83.319783331,4,12
